ID	Module	newScore	Score	LogFC	Symbol	MGI	URL	Process	Function	Component	Pathway
ENSMUSG00000057003		0.0	-5.07238096949341	-0.175060081256994	Myh4	MGI:1339713	http://www.kegg.jp/dbget-bin/www_bget?mmu:17884				
ENSMUSG00000057000		0.0	-5.48958095921254	0.119062375420169	Nxf3	MGI:2685230	http://www.kegg.jp/dbget-bin/www_bget?mmu:245610				
ENSMUSG00000002010		0.0	-4.16253938119165	-0.359616179266964	Idh3g	MGI:1099463	http://www.kegg.jp/dbget-bin/www_bget?mmu:15929				
ENSMUSG00000002015		0.0	-4.14682702039506	0.326434704530915	Bcap31	MGI:1350933	http://www.kegg.jp/dbget-bin/www_bget?mmu:27061				
ENSMUSG00000002014		0.0	-3.50225399424938	0.397455484712992	Ssr4	MGI:1099464	http://www.kegg.jp/dbget-bin/www_bget?mmu:20832				
ENSMUSG00000040147		0.0	-4.5724581899087	-0.360955041037552	Maob	MGI:96916	http://www.kegg.jp/dbget-bin/www_bget?mmu:109731				
ENSMUSG00000046598		0.0	-5.996673488742	-0.0422198050282461	Bdh1	MGI:1919161	http://www.kegg.jp/dbget-bin/www_bget?mmu:71911				
ENSMUSG00000006005		0.0	-2.74551436327279	1.62168819433719	Tpr	MGI:1922066	http://www.kegg.jp/dbget-bin/www_bget?mmu:108989				
ENSMUSG00000006007		0.0	-5.46672895695664	0.14705907082588	Pdc	MGI:98090	http://www.kegg.jp/dbget-bin/www_bget?mmu:20028				
ENSMUSG00000016481		0.0	-5.33661947561098	-0.180566497607857	Cr1l	MGI:88513	http://www.kegg.jp/dbget-bin/www_bget?mmu:12946				
ENSMUSG00000028430		0.0	-5.26390254545404	0.146317435330154	Nol6	MGI:2140151	http://www.kegg.jp/dbget-bin/www_bget?mmu:230082				
ENSMUSG00000029512		0.0	-4.54045498774077	0.224473430090498	Ulk1	MGI:1270126	http://www.kegg.jp/dbget-bin/www_bget?mmu:22241				
ENSMUSG00000022346		0.0	-3.65487088040334	0.531203615920136	Myc	MGI:97250	http://www.kegg.jp/dbget-bin/www_bget?mmu:17869				
ENSMUSG00000038894		0.0	-5.16941977008181	0.361062467659362	Irs2	MGI:109334	http://www.kegg.jp/dbget-bin/www_bget?mmu:384783				
ENSMUSG00000045005		0.0	-2.03284117463304	-1.11268513948739	Fzd5	MGI:108571	http://www.kegg.jp/dbget-bin/www_bget?mmu:14367				
ENSMUSG00000034957		0.0	-5.79436478517237	0.0872158076283555	Cebpa	MGI:99480	http://www.kegg.jp/dbget-bin/www_bget?mmu:12606				
ENSMUSG00000052180		0.0	-5.40418754935342	-0.137891779857828	Serpinb6c	MGI:2145481	http://www.kegg.jp/dbget-bin/www_bget?mmu:97848				
ENSMUSG00000062929		0.0	-0.914344657841343	0.904826071473213	Cfl2	MGI:101763	http://www.kegg.jp/dbget-bin/www_bget?mmu:12632				
ENSMUSG00000052632		0.0	-4.46617692877087	-0.431118611180288	Asap2	MGI:2685438	http://www.kegg.jp/dbget-bin/www_bget?mmu:211914				
ENSMUSG00000028186		0.0	-5.94362613821969	0.064695757084768	Uox	MGI:98907	http://www.kegg.jp/dbget-bin/www_bget?mmu:22262				
ENSMUSG00000035133		0.0	-3.33650325471881	0.986330213435111	Arhgap5	MGI:1332637	http://www.kegg.jp/dbget-bin/www_bget?mmu:11855				
ENSMUSG00000018770		0.0	-5.58737769565042	0.0968290786214367	Atp5g3	MGI:2442035	http://www.kegg.jp/dbget-bin/www_bget?mmu:228033				
